City,Country,TripType,Cost,Rating,Popularity,Restaurants,Accommodations,Activities
Sydney,Australia,Cultural,2800,4.8,9.3,Australian Cuisine,Sydney Resort,"Opera House, Bondi Beach, Harbor Bridge"
Melbourne,Australia,Cultural,2000,4.6,9.1,Laneway Eats,City Hotel,"Museum Tour, Art Galleries, Historic Laneways"
Singapore,Singapore,Relaxed,2100,4.7,9.5,Hawker's Delight,Marina Bay Lodge,"Gardens by the Bay, Marina Bay Sands, Night Safari"
Chiang Mai,Thailand,Adventurous,1200,4.5,8.9,Jungle Cafe,Mountain Retreat,"Trekking Adventure, Waterfalls, Elephant Sanctuary"
Hanoi,Vietnam,Cultural,1400,4.6,9.2,Street Pho,Old Quarter Inn,"Temple Exploration, Hoan Kiem Lake, Old Quarter Walk"
Bangkok,Thailand,Cultural,1500,4.7,9.3,Thai Spice,City Center Hotel,"Grand Palace Visit, Wat Pho, Floating Markets"
Paris,France,Cultural,2500,4.8,9.7,Bistro Belle,Champs Elysees Hotel,"Louvre Tour, Eiffel Tower, Notre-Dame Cathedral"
Reykjavík,Iceland,Adventurous,3000,4.9,8.5,Nordic Bites,Icehotel,"Northern Lights Tour, Golden Circle, Blue Lagoon"
Fort Lee,United States,Cultural,1000,4.4,7.8,Local Eats,Hudson Inn,"Historic Walk, George Washington Bridge Views"
Barnegat Light,United States,Relaxed,900,4.3,7.6,Seaside Cafe,Lighthouse B&B,"Beach Walk, Lighthouse Visit, Sunset Views"
Atlantic City,United States,Relaxed,1200,4.2,7.9,Casino Grill,Bayfront Hotel,"Boardwalk Visit, Beach Relaxation, Casino Fun"
Camden,United States,Cultural,1100,4,7.5,Cultural Kitchen,Riverfront Inn,"Museum Stop, Historic Camden, Waterfront Walk"
Warren Grove,United States,Relaxed,950,4.1,7.4,Country Diner,Cabin Getaway,"Nature Trails, Birdwatching, Scenic Hikes"
Asbury Park,United States,Relaxed,1050,4.3,7.7,Shoreline Cafe,Beachfront Hotel,"Concert Night, Beach Relaxation, Boardwalk Stroll"
Mai Châu,Vietnam,Adventurous,1150,4.7,8.4,Valley Kitchen,Mountain Lodge,"Biking Trails, Rice Terrace Walk, Cultural Experiences"
Tuần Châu,Vietnam,Relaxed,1000,4.5,8.1,Island Grill,Harbor Hotel,"Island Tour, Relaxing Beaches, Scenic Views"
Kuala Lumpur,Malaysia,Cultural,1600,4.6,8.8,Malaysian Bites,Tower Inn,"Twin Towers Tour, Batu Caves, Chinatown Exploration"
Agrigento,Italy,Cultural,1700,4.7,8.9,Trattoria Roma,Valley View Hotel,"Archaeological Park, Valley of the Temples"
Catania,Italy,Cultural,1650,4.5,8.7,Sicilian Taste,Etna Lodge,"Baroque City Tour, Mount Etna Exploration"
Palermo,Italy,Cultural,1800,4.6,9,Seafood Delights,Historic Inn,"Cathedral Walk, Historic Markets, Mediterranean Views"
Taormina,Italy,Cultural,1900,4.8,9.2,Panoramic Bites,Clifftop Retreat,"Greek Theatre Tour, Mount Etna Views, Scenic Strolls"
Trapani,Italy,Cultural,1750,4.7,8.9,Fisherman’s Grill,Seaside Inn,"Winery Visit, Salt Flats Tour, Beach Relaxation"
Las Vegas,United States,Relaxed,2000,4.5,9.3,Strip Dining,Hotel Lux,"Casino Night, Live Shows, Poolside Lounging"
Samarkand,Uzbekistan,Cultural,2200,4.9,8.6,Silk Road Cafe,Blue Dome Lodge,"Historical Tour, Registan Square, Shah-i-Zinda"
Tashkent,Uzbekistan,Cultural,1800,4.5,8.7,Central Eats,Grand Hotel Tashkent,"Historical Sites Tour, Chorsu Bazaar"
Christchurch,New Zealand,Adventurous,2200,4.6,8.9,Kiwi Café,Adventure Lodge,"Hiking & Wildlife Safari, Botanic Gardens, Earthquake Tour"
Beijing,China,Cultural,2400,4.8,9.3,Peking Duck House,Beijing Palace Hotel,"Forbidden City Visit, Great Wall, Temple of Heaven"
Chengdu,China,Cultural,2100,4.7,9.1,Sichuan Spices,Chengdu Hotel,"Panda Sanctuary Visit, Jinli Ancient Street"
Kisoji,Japan,Cultural,2300,4.7,9,Shabu Shabu Spot,Traditional Ryokan,"Temple & Garden Walk, Scenic Mountain Views"
Osaka,Japan,Cultural,2000,4.8,9.2,Osaka Street Food,Osaka Grand Hotel,"Osaka Castle Tour, Dotonbori Street, Umeda Sky Building"
Xi’an,China,Cultural,1800,4.6,8.8,Xi’an Dumplings,Terra Cotta Hotel,"Terracotta Army Visit, Xi’an City Wall, Muslim Quarter"
Miami,United States,Adventurous,2800,4.7,8.8,"Joe's Stone Crab, Versailles Restaurant",Miami Adventure Hotel,"South Beach, Everglades, Nightlife"
Key West,United States,Relaxed,2400,4.8,8.9,"Blue Heaven, Santiago's Bodega",Key West Resort,"Beaches, Sunset Cruises, Relaxation"
Cusco,Peru,Cultural,2300,4.8,9,"Chicha por Gastón Acurio, Morena Peruvian Kitchen",Cusco Cultural Hotel,"Sacsayhuamán, Sacred Valley, Local Markets"
Lima,Peru,Adventurous,2500,4.9,9.2,"Central, Maido",Lima Adventure Lodge,"Miraflores, Barranco, Paragliding"
Machu Picchu,Peru,Adventurous,2800,4.9,9.4,"Tampu Restaurant, Tinkuy Restaurant",Machu Picchu Adventure Inn,"Citadel Exploration, Hiking, Scenic Views"
Tambopata,Peru,Adventurous,2600,4.7,9,"Posada Amazonas Dining, Rainforest Café",Tambopata Eco Lodge,"Jungle Safaris, Riverboat Cruises, Wildlife Viewing"
Inukjuak,Canada,Adventurous,3200,4.6,8.7,Local Inuit Cuisine Spot,Inukjuak Eco Hotel,"Northern Lights, Kayaking, Wildlife Watching"
Marieville,Canada,Cultural,2400,4.7,8.9,"Le Coin de Feu, Bistro Sur Le Boulevard",Marieville Heritage Inn,"Historic Walks, Local Farms, Cultural Festivals"
Montreal,Canada,Cultural,2600,4.9,9.1,"Joe Beef, Schwartz's Deli",Montreal Heritage Hotel,"Old Montreal, Notre-Dame Basilica, Fine Dining"
Rigaud,Canada,Cultural,2200,4.6,8.8,"Sucrerie de la Montagne, Chez Sauvé",Rigaud Country Inn,"Monastic Tours, Maple Syrup Tasting, Hiking"
Stockholm,Sweden,Cultural,2800,4.8,9.3,"Frantzén, Oaxen Slip",Stockholm Grand Hotel,"Gamla Stan, Vasa Museum, Archipelago Cruises"
Bayamón,Puerto Rico,Cultural,2300,4.7,8.8,"Los Gorditos, El Gigante Dormido",Bayamón Heritage Hotel,"Art Museum, Science Park, Local Cuisine"
Caguas,Puerto Rico,Cultural,2200,4.6,8.7,"Cayo Caribe, Lechonera El Rancho Original",Caguas Inn,"Botanical Garden, Local Arts Scene, Cultural Festivals"
Cayey,Puerto Rico,Cultural,2300,4.8,8.9,"Guavate Pork Highway, El Nuevo Rancho",Cayey Guest House,"Scenic Views, Hiking Trails, Food Tours"
Isabela,Puerto Rico,Relaxed,2400,4.8,9,"The Eclipse Restaurant, Tuluum",Isabela Beach Resort,"Beaches, Surfing, Relaxation"
Ponce,Puerto Rico,Cultural,2400,4.8,9.1,"Lola Eclectic Cuisine, Melao Coffee Shop",Ponce Cultural Hotel,"Museum of Art, Plaza Las Delicias, Historical Walks"
San Juan,Puerto Rico,Cultural,2600,4.9,9.2,"Marmalade, La Factoria",San Juan Heritage Hotel,"Old San Juan, El Morro, Beaches"
Vega Baja,Puerto Rico,Relaxed,2400,4.7,8.9,"Limo Viejo, Restaurante Mar Azul",Vega Baja Relax Inn,"Beaches, Scenic Drives, Sunset Views"
Osaka,Japan,Adventurous,2800,4.8,9.3,"Dotonbori Kukuru, Ichiran Ramen",Osaka Adventure Hotel,"Universal Studios, Osaka Castle, Food Tours"
Del Rio,United States,Relaxed,2200,4.6,8.7,"Cripple Creek Steakhouse, Manuel's Steakhouse",Del Rio Inn,"Amistad Reservoir, Historical Landmarks"
Rio Grande,United States,Relaxed,2300,4.7,8.8,"The Rio Grill, Los Comales",Rio Grande Resort,"Scenic Views, River Walks, Local Events"
Laredo,United States,Cultural,2200,4.7,8.8,"Palenque Grill, La Roca",Laredo Heritage Hotel,"Historical District, Markets, Cultural Sites"
Eagle Pass,United States,Cultural,2200,4.6,8.7,"Parrilla de San Miguel, La Parrilla Grill",Eagle Pass Cultural Inn,"Fort Duncan, Mall de las Aguilas, Food Tours"
Coahuila,Mexico,Cultural,2300,4.7,8.9,"Don Artemio, La Garufa",Coahuila Heritage Hotel,"Historic Tours, Local Wineries, Cultural Events"
Monterrey,Mexico,Cultural,2600,4.9,9.1,"Pangea, El Rey del Cabrito",Monterrey Grand Hotel,"Macroplaza, Fundidora Park, Museum Tours"
Tamaulipas,Mexico,Cultural,2400,4.7,8.8,"Mariscos el Bayo, Asador el Puente",Tamaulipas Heritage Inn,"Beaches, Local Cuisine, Historic Landmarks"
Jaisalmer,India,Cultural,2300,4.8,9.1,"Saffron, Jaisal Italy",Jaisalmer Heritage Hotel,"Golden Fort, Desert Safari, Local Handicrafts"
Jodhpur,India,Cultural,2400,4.7,8.9,"Indique, The Curry’s",Jodhpur Cultural Inn,"Mehrangarh Fort, Jaswant Thada, Clock Tower"
Udaipur,India,Cultural,2500,4.8,9.2,"Ambrai, Upre by 1559 AD",Udaipur Heritage Hotel,"City Palace, Lake Pichola, Folk Art Museum"
Kolkata,India,Cultural,2200,4.7,8.8,"6 Ballygunge Place, Oh! Calcutta",Kolkata Grand Hotel,"Victoria Memorial, Local Markets, Durga Puja"
Mumbai,India,Cultural,2600,4.9,9.1,"Leopold Café, Bombay Canteen",Mumbai Grand Hotel,"Gateway of India, Marine Drive, Bollywood Tours"
Seoul,South Korea,Cultural,2600,4.9,9.2,"Tosokchon, Gogung",Seoul Grand Hotel,"Gyeongbokgung Palace, Myeongdong, Han River Cruises"
Bali,Indonesia,Relaxed,2500,4.8,9,"Locavore, Mozaic",Bali Beach Resort,"Beaches, Rice Terraces, Yoga Retreats"
Jakarta,Indonesia,Cultural,2400,4.7,8.8,"Lara Djonggrang, Bandar Djakarta",Jakarta Cultural Inn,"National Monument, Old Town, Local Cuisine"
Barcelona,Spain,Cultural,2600,4.9,9.1,"Tickets, Can Culleretes",Barcelona Grand Hotel,"Sagrada Familia, Park Güell, Tapas Tour"
Beirut,Lebanon,Relaxed,2400,4.7,8.9,"Em Sherif, Barbar",Beirut Relax Inn,"Corniche, Pigeon Rocks, Local Cuisine"
Belfast,United Kingdom,Cultural,2400,4.7,8.9,"Mourne Seafood Bar, Ox Belfast",Belfast Heritage Hotel,"Titanic Museum, Belfast Castle, Botanic Gardens"
Dublin,United Kingdom,Cultural,2500,4.8,9.1,"The Boxty House, Chapter One",Dublin Cultural Inn,"Trinity College, Guinness Storehouse, Temple Bar"
Accra,Ghana,Cultural,2300,4.7,8.8,"Bistro 22, Skybar25",Accra Heritage Hotel,"Kwame Nkrumah Mausoleum, Local Markets, Beaches"
Adanwomase,Ghana,Cultural,2200,4.6,8.7,Local Ghanaian Cuisine Spot,Adanwomase Lodge,"Kente Weaving Tours, Village Walks, Cultural Exploration"
Ashanti,Ghana,Cultural,2300,4.7,8.9,"Ashanti BBQ Grill, Buka Restaurant",Ashanti Cultural Inn,"Lake Bosomtwe, Manhyia Palace, Traditional Ceremonies"
Beyin,Ghana,Relaxed,2400,4.8,9,"The Nzulezo Inn Restaurant, Local Seafood Spot",Beyin Beach Resort,"Nzulezo Stilt Village, Beaches, Relaxation"
Mole Game Reserve,Ghana,Adventurous,2600,4.8,9.2,"Mole Motel Restaurant, Local Cuisine Spot",Mole Eco Lodge,"Safari Tours, Wildlife Viewing, Hiking"
Nzulezo,Ghana,Adventurous,2400,4.7,9,"Local Dining Spot, Waterfront Café",Nzulezo Adventure Lodge,"Canoe Tours, Floating Village Exploration"
Portland,United States,Cultural,2500,4.8,9.1,"Le Pigeon, Pok Pok",Portland Heritage Inn,"Pittock Mansion, Powell's Books, Japanese Garden"
Seattle,United States,Cultural,2600,4.9,9.2,"Canlis, The Pink Door",Seattle Grand Hotel,"Pike Place Market, Space Needle, Museums"
Shelton,United States,Cultural,2300,4.7,8.8,"Smoking Mo's, The Strip Steakhouse",Shelton Inn,"Historical Downtown, Local Farms, Nature Trails"
Katutura,Namibia,Cultural,2200,4.6,8.7,Local Namibian Cuisine Spot,Katutura Guest House,"Cultural Market Tours, Historical Sites"
Khomas,Namibia,Cultural,2300,4.7,8.9,"Namibian Delights Café, Joe's Beerhouse",Khomas Heritage Inn,"Windhoek City Tours, Local Crafts, Cultural Festivals"
Walvis Bay,Namibia,Adventurous,2500,4.8,9.2,"The Raft, Anchors Waterfront",Walvis Bay Eco Lodge,"Dolphin Tours, Dune 7 Adventures, Bird Watching"
Windhoek,Namibia,Cultural,2400,4.7,8.9,"The Stellenbosch, Gathemann Restaurant",Windhoek Heritage Hotel,"National Museum, Christuskirche, Zoo Park"
Moscow,Russia,Cultural,2600,4.8,9.2,"White Rabbit, Café Pushkin",Moscow Grand Hotel,"Red Square, Kremlin, Bolshoi Theatre"
Los Angeles,United States,Adventurous,2800,4.9,9.3,"Nobu, République",LA Adventure Hotel,"Hollywood, Santa Monica, Griffith Observatory"
Dali,China,Cultural,2400,4.7,8.8,"Yunnan Cuisine Spot, Local Street Food",Dali Heritage Inn,"Erhai Lake, Three Pagodas, Ancient Town Walks"
Lijiang,China,Cultural,2500,4.8,9.1,"Banyan Tree Café, Local Hotpot Spot",Lijiang Cultural Lodge,"Old Town, Tiger Leaping Gorge, Local Music Scene"
Shanghai,China,Cultural,2600,4.9,9.3,"Ultraviolet, Din Tai Fung",Shanghai Grand Hotel,"The Bund, Yu Garden, Shanghai Tower"
Zhangdian,China,Cultural,2200,4.6,8.7,"Local Cuisine Spot, Zhangdian Café",Zhangdian Cultural Inn,"Ancient Streets, Cultural Shows, Local Temples"
São Paulo,Brazil,Cultural,2500,4.8,9.1,"D.O.M., Mocotó",São Paulo Grand Hotel,"Ibirapuera Park, São Paulo Museum of Art, Local Markets"
Pape'ete,Tahiti,Relaxed,2600,4.9,9.2,"Le Lotus, The Royal Tahitian",Tahiti Beach Resort,"Beaches, Lagoon Tours, Pearl Farms"
Rangiroa,Tuamotu,Adventurous,2800,4.9,9.3,"Local Dining Spot, Rangiroa Restaurant",Rangiroa Adventure Inn,"Diving, Lagoon Exploration, Snorkeling"
Hiva Oa Tahuata,French Polynesia,Adventurous,2700,4.8,9.2,Local Polynesian Cuisine Spot,Hiva Oa Eco Lodge,"Island Hiking, Archeological Sites, Scenic Views"
Cleveland,United States,Cultural,2400,4.7,8.9,"Lola Bistro, Slyman's Deli",Cleveland Heritage Hotel,"Rock & Roll Hall of Fame, Cleveland Museum of Art, Local Dining"
Hong Kong,China,Relaxed,2500,4.8,9,"Tim Ho Wan, Maxim's Palace",Hong Kong Island Resort,"Victoria Peak, Tsim Sha Tsui, Ferry Rides"
Buenos Aires,Argentina,Cultural,2500,4.8,9.1,"Don Julio, El Pobre Luis",Buenos Aires Grand Hotel,"Recoleta, Tango Shows, Local Cuisine"
Charleston,United States,Cultural,2400,4.8,9,"Husk, Fig",Charleston Heritage Inn,"Historic District, Waterfront Park, Local Dining"
Tuscany,Italy,Relaxed,2700,4.9,9.2,"La Pergola, Osteria Francescana",Tuscany Villa,"Wine Tours, Countryside Relaxation, Historic Towns"
Danbury,United States,Cultural,2200,4.6,8.7,"Barbarie's Grill, The Cue",Danbury Inn,"Local Museums, Candlewood Lake, Historic Landmarks"
Berlin,Germany,Cultural,2500,4.8,9.1,"Tim Raue, Rutz",Berlin Grand Hotel,"Berlin Wall, Brandenburg Gate, Museum Island"
Vancouver,Canada,Cultural,2600,4.9,9.2,"Blue Water Café, Miku",Vancouver Heritage Hotel,"Stanley Park, Granville Island, Local Dining"
Crete,Greece,Relaxed,2500,4.8,9,"Taverna Koutouloufari, Avli Restaurant",Crete Resort,"Beaches, Ancient Ruins, Local Wineries"
Zakynthos,Greece,Relaxed,2400,4.7,8.9,"Taverna Vassilis, Porto Limnionas Tavern",Zakynthos Beach Hotel,"Shipwreck Beach, Blue Caves, Relaxation"
New Orleans,United States,Relaxed,2500,4.8,9.1,"Commander's Palace, Cochon",New Orleans Heritage Inn,"French Quarter, Jazz Clubs, Local Cuisine"
London,United Kingdom,Adventurous,2800,4.9,9.3,"The Ledbury, Sketch",London Adventure Hotel,"Tower of London, Thames Cruises, Shopping"
Edinburgh,United Kingdom,Cultural,2500,4.8,9.1,"The Witchery, Ondine",Edinburgh Heritage Hotel,"Edinburgh Castle, Arthur's Seat, Royal Mile"
Kingston,Jamaica,Cultural,2300,4.7,8.9,"Devon House, Gloria's Seafood",Kingston Cultural Inn,"Bob Marley Museum, Devon House, Blue Mountains"
Bucharest,Romania,Cultural,2400,4.7,8.9,"Caru' cu Bere, Hanu' Berarilor",Bucharest Grand Hotel,"Palace of Parliament, Old Town, Local Markets"
Brașov,Romania,Cultural,2300,4.6,8.8,"Restaurant Sergiana, La Ceaun",Brașov Heritage Inn,"Bran Castle, Mount Tampa, Historic Churches"
Honolulu,United States,Relaxed,2600,4.9,9.2,"Alan Wong's, Duke's Waikiki",Honolulu Beach Hotel,"Waikiki Beach, Diamond Head, Cultural Sites"
Kapolei,United States,Relaxed,2500,4.8,9.1,"Monkeypod Kitchen, Roy's Ko Olina",Kapolei Resort,"Beaches, Golf Courses, Sunset Views"
North Shore,United States,Relaxed,2400,4.7,9,"Giovanni's Shrimp Truck, Haleiwa Beach House",North Shore Resort,"Surfing, Beaches, Local Food Trucks"
Koloa,United States,Relaxed,2500,4.8,9.1,"Beach House Restaurant, Merriman's Kauai",Koloa Beach Resort,"Poipu Beach, Spouting Horn, Scenic Views"
Manhattan,United States,Cultural,2800,4.9,9.3,"Per Se, Eleven Madison Park",Manhattan Luxury Hotel,"Broadway, Times Square, Central Park"
Vientiane,Laos,Cultural,2300,4.7,8.8,"Kualao Restaurant, Lao Kitchen",Vientiane Heritage Inn,"Patuxai, Pha That Luang, Local Markets"
Medellín,Colombia,Cultural,2300,4.6,8.8,"El Cielo, Carmen",Medellín Grand Hotel,"Comuna 13, Cable Cars, Local Food Tours"
Cartagena,Colombia,Cultural,2400,4.7,8.9,"La Cevicheria, Carmen Cartagena",Cartagena Heritage Hotel,"Old Town, Rosario Islands, Beaches"
Jeddah,Saudi Arabia,Cultural,2600,4.8,9.2,"Al Nakheel, Toki",Jeddah Cultural Inn,"Corniche, Old Town, Floating Mosque"
Cabo Polonio,Uruguay,Relaxed,2200,4.6,8.7,"Local Beach Café, Cabo Polonio Lighthouse Café",Cabo Polonio Eco Lodge,"Beaches, Lighthouse, Stargazing"
Garzón,Uruguay,Relaxed,2300,4.7,8.8,"Restaurant Garzón, Local Vineyard Dining",Garzón Boutique Hotel,"Vineyards, Relaxing Countryside, Cultural Tours"
Jose Ignacio,Uruguay,Adventurous,2500,4.8,9.1,"La Huella, Marismo",Jose Ignacio Adventure Lodge,"Beaches, Kite Surfing, Sunset Tours"
Lavalleja,Uruguay,Relaxed,2400,4.7,8.9,"Local Steakhouse, Lavalleja Café",Lavalleja Nature Retreat,"Hiking Trails, Waterfalls, Scenic Views"
Montevideo,Uruguay,Cultural,2600,4.8,9.2,"La Cocina de Pedro, La Otra Parrilla",Montevideo Heritage Hotel,"Old Town, Mercado del Puerto, Museums"
Green Valley,United States,Relaxed,2300,4.6,8.7,"Arizona Family Restaurant, La Placita Café",Green Valley Inn,"Desert Walks, Relaxing Resorts, Stargazing"
Phoenix,United States,Cultural,2500,4.8,9.1,"Kai Restaurant, Little Miss BBQ",Phoenix Heritage Hotel,"Desert Botanical Garden, Heard Museum, Local Dining"
Indio,United States,Cultural,2400,4.7,8.8,"Tack Room Tavern, Shields Date Garden",Indio Cultural Lodge,"Music Festivals, Historical Sites, Nature Walks"
Salton Sea,United States,Adventurous,2200,4.6,8.7,"Local Cuisine Spot, Nature Café",Salton Sea Eco Lodge,"Nature Tours, Bird Watching, Historical Sites"
Niland,United States,Adventurous,2300,4.7,8.8,"Local Dining Spot, Niland Café",Niland Adventure Lodge,"Salvation Mountain, Desert Art Installations, Exploration"
Palm Springs,United States,Relaxed,2600,4.9,9.2,"Workshop Kitchen, Spencer's Restaurant",Palm Springs Resort,"Spa Resorts, Aerial Tramway, Golf Courses"
Bombay Beach,United States,Adventurous,2300,4.7,8.8,"Local Art Café, Bombay Beach Diner",Bombay Beach Adventure Lodge,"Art Installations, Desert Exploration, Scenic Views"
Abiquiu,United States,Adventurous,2400,4.8,9,"Local Cuisine Spot, Abiquiu Café",Abiquiu Adventure Lodge,"Ghost Ranch, Hiking Trails, Scenic Drives"
Hatch,United States,Cultural,2200,4.6,8.7,"Pepper Pot, Hatch Chile Café",Hatch Cultural Inn,"Chile Farms, Local Markets, Cultural Tours"
Amarillo,United States,Cultural,2400,4.7,8.9,"The Big Texan Steak Ranch, Crush",Amarillo Heritage Hotel,"Cadillac Ranch, Palo Duro Canyon, Historic Route 66"
Woodway,United States,Cultural,2200,4.6,8.7,"Local Cuisine Spot, Woodway Café",Woodway Inn,"Nature Trails, Historical Sites, Cultural Events"
Waco,United States,Cultural,2300,4.7,8.8,"Magnolia Table, Buzzard Billy's",Waco Cultural Lodge,"Waco Suspension Bridge, Dr Pepper Museum, Local Markets"
Tokyo,Japan,Relaxed,2700,4.9,9.3,"Sukiyabashi Jiro, Ichiran Ramen",Tokyo Grand Hotel,"Shinjuku Gyoen, Akihabara, Sensō-ji Temple"
Barcelona,Spain,Adventurous,2800,4.9,9.3,"Tickets, El Nacional",Barcelona Adventure Hotel,"Sagrada Familia, Park Güell, Las Ramblas"
Basque Country,Spain,Cultural,2500,4.8,9.1,"Asador Etxebarri, Mugaritz",Basque Boutique Hotel,"Guggenheim Museum, Local Markets, Countryside Views"
Catalonia,Spain,Cultural,2400,4.7,8.9,"Can Roca, Catalan Bistro",Catalonia Cultural Lodge,"Historic Sites, Countryside Tours, Local Cuisine"
San Sebastian,Spain,Relaxed,2600,4.8,9.2,"Bar Nestor, Arzak",San Sebastian Resort,"Beaches, Scenic Walks, Local Dining"
Cairo,Egypt,Cultural,2500,4.8,9.1,"Abou El Sid, Felfela",Cairo Heritage Hotel,"Pyramids, Egyptian Museum, Khan el-Khalili Market"
Luxor,Egypt,Cultural,2400,4.7,8.9,"Sofra, Al-Sahaby Lane",Luxor Grand Hotel,"Valley of the Kings, Karnak Temple, Nile Cruises"
Seds,Egypt,Adventurous,2300,4.6,8.7,"Local Cuisine Spot, Desert Café",Seds Adventure Lodge,"Desert Exploration, Historical Sites, Scenic Views"
Manhattan,United States,Relaxed,2800,4.9,9.3,"Per Se, Eleven Madison Park",Manhattan Luxury Hotel,"Broadway, Times Square, Central Park"
Mexico City,Mexico,Adventurous,2600,4.9,9.3,"Pujol, Contramar",Mexico City Adventure Hotel,"Frida Kahlo Museum, Xochimilco, Teotihuacan Pyramids"
Puebla,Mexico,Relaxed,2400,4.8,9,"El Mural de los Poblanos, La Noria",Puebla Heritage Inn,"Historic Center, Puebla Cathedral, Local Cuisine"
Venice,Italy,Cultural,2700,4.9,9.2,"Antiche Carampane, Osteria alle Testiere",Venice Grand Hotel,"Canals, St. Mark's Basilica, Doge's Palace"
